drill_id,mic_type,mic_id,position,sr,filepath_wav
18,common,Tr4,int,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_7th_jam_2_holes/reg_mics/250210_004.TAKE/18_common_Tr4_int.wav
18,common,Tr1,ext,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_7th_jam_2_holes/reg_mics/250210_004.TAKE/18_common_Tr1_ext.wav
18,common,Tr3,ext,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_7th_jam_2_holes/reg_mics/250210_004.TAKE/18_common_Tr3_ext.wav
18,common,Tr2,ext,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_7th_jam_2_holes/reg_mics/250210_004.TAKE/18_common_Tr2_ext.wav
18,common,Tr3,ext,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_2nd_jam_12_holes/ultrasonic_mics/190521_009.TAKE/18_common_Tr3_ext.wav
18,common,Tr2,ext,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_2nd_jam_12_holes/ultrasonic_mics/190521_009.TAKE/18_common_Tr2_ext.wav
18,common,Tr1,ext,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_2nd_jam_12_holes/ultrasonic_mics/190521_009.TAKE/18_common_Tr1_ext.wav
18,common,Tr5,int,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_2nd_jam_12_holes/ultrasonic_mics/190521_009.TAKE/18_common_Tr5_int.wav
18,common,Tr4,int,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_2nd_jam_12_holes/ultrasonic_mics/190521_009.TAKE/18_common_Tr4_int.wav
18,common,Tr6,int,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_2nd_jam_12_holes/ultrasonic_mics/190521_009.TAKE/18_common_Tr6_int.wav
18,common,Tr6,int,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_2nd_jam_12_holes/reg_mics/250207_009.TAKE/18_common_Tr6_int.wav
18,common,Tr5,int,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_2nd_jam_12_holes/reg_mics/250207_009.TAKE/18_common_Tr5_int.wav
18,common,Tr4,int,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_2nd_jam_12_holes/reg_mics/250207_009.TAKE/18_common_Tr4_int.wav
18,common,Tr1,ext,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_2nd_jam_12_holes/reg_mics/250207_009.TAKE/18_common_Tr1_ext.wav
18,common,Tr3,ext,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_2nd_jam_12_holes/reg_mics/250207_009.TAKE/18_common_Tr3_ext.wav
18,common,Tr2,ext,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_2nd_jam_12_holes/reg_mics/250207_009.TAKE/18_common_Tr2_ext.wav
18,common,Tr1,ext,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_8th_jam_2_holes/ultrasonic_mics/190524_005.TAKE/18_common_Tr1_ext.wav
18,common,Tr2,ext,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_8th_jam_2_holes/ultrasonic_mics/190524_005.TAKE/18_common_Tr2_ext.wav
18,common,Tr3,ext,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_8th_jam_2_holes/ultrasonic_mics/190524_005.TAKE/18_common_Tr3_ext.wav
18,common,Tr6,int,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_8th_jam_2_holes/ultrasonic_mics/190524_005.TAKE/18_common_Tr6_int.wav
18,common,Tr4,int,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_8th_jam_2_holes/ultrasonic_mics/190524_005.TAKE/18_common_Tr4_int.wav
18,common,Tr5,int,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_8th_jam_2_holes/ultrasonic_mics/190524_005.TAKE/18_common_Tr5_int.wav
18,common,Tr3,ext,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_8th_jam_2_holes/reg_mics/250210_005.TAKE/18_common_Tr3_ext.wav
18,common,Tr2,ext,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_8th_jam_2_holes/reg_mics/250210_005.TAKE/18_common_Tr2_ext.wav
18,common,Tr1,ext,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_8th_jam_2_holes/reg_mics/250210_005.TAKE/18_common_Tr1_ext.wav
18,common,Tr5,int,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_8th_jam_2_holes/reg_mics/250210_005.TAKE/18_common_Tr5_int.wav
18,common,Tr4,int,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_8th_jam_2_holes/reg_mics/250210_005.TAKE/18_common_Tr4_int.wav
18,common,Tr6,int,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_8th_jam_2_holes/reg_mics/250210_005.TAKE/18_common_Tr6_int.wav
18,common,Tr6,int,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_6th_jam_3_holes/ultrasonic_mics/190524_003.TAKE/18_common_Tr6_int.wav
18,common,Tr5,int,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_6th_jam_3_holes/ultrasonic_mics/190524_003.TAKE/18_common_Tr5_int.wav
18,common,Tr4,int,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_6th_jam_3_holes/ultrasonic_mics/190524_003.TAKE/18_common_Tr4_int.wav
18,common,Tr1,ext,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_6th_jam_3_holes/ultrasonic_mics/190524_003.TAKE/18_common_Tr1_ext.wav
18,common,Tr3,ext,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_6th_jam_3_holes/ultrasonic_mics/190524_003.TAKE/18_common_Tr3_ext.wav
18,common,Tr2,ext,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_6th_jam_3_holes/ultrasonic_mics/190524_003.TAKE/18_common_Tr2_ext.wav
18,common,Tr4,int,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_6th_jam_3_holes/reg_mics/250210_003.TAKE/18_common_Tr4_int.wav
18,common,Tr5,int,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_6th_jam_3_holes/reg_mics/250210_003.TAKE/18_common_Tr5_int.wav
18,common,Tr6,int,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_6th_jam_3_holes/reg_mics/250210_003.TAKE/18_common_Tr6_int.wav
18,common,Tr2,ext,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_6th_jam_3_holes/reg_mics/250210_003.TAKE/18_common_Tr2_ext.wav
18,common,Tr3,ext,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_6th_jam_3_holes/reg_mics/250210_003.TAKE/18_common_Tr3_ext.wav
18,common,Tr1,ext,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_6th_jam_3_holes/reg_mics/250210_003.TAKE/18_common_Tr1_ext.wav
18,common,Tr3,ext,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_5th_jam_7_holes/ultrasonic_mics/190524_002.TAKE/18_common_Tr3_ext.wav
18,common,Tr2,ext,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_5th_jam_7_holes/ultrasonic_mics/190524_002.TAKE/18_common_Tr2_ext.wav
18,common,Tr1,ext,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_5th_jam_7_holes/ultrasonic_mics/190524_002.TAKE/18_common_Tr1_ext.wav
18,common,Tr5,int,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_5th_jam_7_holes/ultrasonic_mics/190524_002.TAKE/18_common_Tr5_int.wav
18,common,Tr4,int,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_5th_jam_7_holes/ultrasonic_mics/190524_002.TAKE/18_common_Tr4_int.wav
18,common,Tr6,int,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_5th_jam_7_holes/ultrasonic_mics/190524_002.TAKE/18_common_Tr6_int.wav
18,common,Tr1,ext,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_5th_jam_7_holes/reg_mics/250210_002.TAKE/18_common_Tr1_ext.wav
18,common,Tr2,ext,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_5th_jam_7_holes/reg_mics/250210_002.TAKE/18_common_Tr2_ext.wav
18,common,Tr3,ext,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_5th_jam_7_holes/reg_mics/250210_002.TAKE/18_common_Tr3_ext.wav
18,common,Tr6,int,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_5th_jam_7_holes/reg_mics/250210_002.TAKE/18_common_Tr6_int.wav
18,common,Tr4,int,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_5th_jam_7_holes/reg_mics/250210_002.TAKE/18_common_Tr4_int.wav
18,common,Tr5,int,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_5th_jam_7_holes/reg_mics/250210_002.TAKE/18_common_Tr5_int.wav
18,common,Tr1,ext,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_3rd_jam_7_holes/ultrasonic_mics/190521_010.TAKE/18_common_Tr1_ext.wav
18,common,Tr3,ext,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_3rd_jam_7_holes/ultrasonic_mics/190521_010.TAKE/18_common_Tr3_ext.wav
18,common,Tr2,ext,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_3rd_jam_7_holes/ultrasonic_mics/190521_010.TAKE/18_common_Tr2_ext.wav
18,common,Tr6,int,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_3rd_jam_7_holes/ultrasonic_mics/190521_010.TAKE/18_common_Tr6_int.wav
18,common,Tr5,int,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_3rd_jam_7_holes/ultrasonic_mics/190521_010.TAKE/18_common_Tr5_int.wav
18,common,Tr4,int,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_3rd_jam_7_holes/ultrasonic_mics/190521_010.TAKE/18_common_Tr4_int.wav
18,common,Tr5,int,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_3rd_jam_7_holes/reg_mics/250207_010.TAKE/18_common_Tr5_int.wav
18,common,Tr4,int,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_3rd_jam_7_holes/reg_mics/250207_010.TAKE/18_common_Tr4_int.wav
18,common,Tr6,int,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_3rd_jam_7_holes/reg_mics/250207_010.TAKE/18_common_Tr6_int.wav
18,common,Tr3,ext,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_3rd_jam_7_holes/reg_mics/250207_010.TAKE/18_common_Tr3_ext.wav
18,common,Tr2,ext,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_3rd_jam_7_holes/reg_mics/250207_010.TAKE/18_common_Tr2_ext.wav
